Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
65.988,21.508,15.135,15.629,12.438,24.748,18.193,24.857,26.671,17.365,27.432,33.362,14.841,11.431,5.273,6.524,11.212,5.770,10.308,16.060,9.365,6.118,10.309
68.465,22.540,13.442,16.543,11.036,24.490,17.657,24.271,25.709,17.812,28.523,34.812,14.568,13.347,4.545,7.935,9.577,5.304,10.615,17.369,9.479,6.000,8.728
74.535,22.395,14.375,13.843,12.455,24.775,15.914,21.029,24.975,17.385,31.114,31.300,15.523,11.917,4.682,6.984,9.529,5.838,12.067,16.595,9.062,6.294,9.412
67.267,21.524,15.933,16.171,11.848,22.980,16.707,23.800,23.570,19.510,29.955,29.763,14.500,10.389,6.068,7.968,9.144,5.953,11.673,17.345,10.083,6.176,8.640
68.233,22.218,15.490,15.986,12.893,23.543,17.021,26.000,23.481,17.667,37.614,31.888,16.000,11.153,3.932,8.113,7.673,5.568,10.471,17.060,8.677,5.363,9.088
71.907,23.597,15.433,15.543,13.705,23.523,17.007,24.029,25.608,16.177,31.364,33.700,11.295,11.556,4.750,6.581,8.423,5.601,11.173,16.643,9.188,5.127,8.632
71.349,24.137,14.596,16.229,14.554,23.113,17.993,24.557,25.899,16.562,32.591,30.500,16.045,12.847,4.841,7.718,7.721,5.885,10.260,17.071,9.531,6.078,8.228
70.349,21.798,14.683,16.100,12.321,22.013,18.386,25.857,24.709,18.938,29.636,33.625,14.386,12.819,5.386,8.637,7.481,5.270,10.683,14.714,8.760,5.990,8.029
74.558,22.871,16.231,16.100,12.089,22.205,17.336,24.614,22.443,16.292,28.250,30.712,15.500,12.806,4.818,8.629,9.394,6.547,11.115,15.595,8.083,6.902,8.846
73.616,23.234,16.327,16.786,12.312,23.113,19.679,22.414,22.722,17.594,31.727,32.263,16.523,11.347,6.773,6.702,9.317,6.068,10.510,16.071,9.667,6.441,9.926
75.407,23.226,15.827,15.229,12.223,21.013,18.371,22.229,22.165,17.958,31.818,30.950,14.750,11.847,5.045,9.202,9.125,7.149,9.423,15.512,7.500,5.951,8.816
75.988,23.395,15.029,16.671,11.509,23.576,16.536,21.271,20.722,16.062,33.182,31.938,14.136,12.208,5.795,6.363,9.154,5.736,11.981,13.286,8.375,4.657,8.882
76.930,25.492,14.894,13.400,9.670,23.079,18.971,20.971,19.785,14.031,30.205,31.225,13.455,11.125,3.523,7.347,9.692,5.811,10.952,13.464,8.844,5.961,11.199
81.477,21.637,14.452,15.000,12.652,22.411,17.886,22.729,19.013,13.490,29.705,30.450,14.227,11.514,6.045,7.702,9.067,6.432,9.567,12.738,9.625,7.010,8.566
76.488,23.185,15.596,14.400,12.384,22.987,19.164,21.643,19.139,15.104,28.182,33.675,15.136,11.764,4.159,7.452,10.192,5.318,10.096,13.452,8.896,7.039,9.919
78.105,22.589,13.385,16.729,12.777,22.947,19.507,21.629,20.304,13.427,32.750,32.662,13.523,10.694,6.864,7.274,9.385,5.743,10.615,15.202,8.646,5.686,8.544
